  z    H2O         O3          CH4         NO2         OH         HCl
 12.6  4.7918E-05  1.6525E-07  1.5599E-06  6.1448E-11  2.8221E-14  1.1093E-10
 12.7  4.5798E-05  1.7264E-07  1.5577E-06  6.3952E-11  2.8206E-14  1.1368E-10
 12.8  4.3646E-05  1.8054E-07  1.5555E-06  6.6644E-11  2.8220E-14  1.1650E-10
 12.9  4.1470E-05  1.8896E-07  1.5533E-06  6.9533E-11  2.8264E-14  1.1940E-10
 13.0  3.9277E-05  1.9792E-07  1.5511E-06  7.2627E-11  2.8337E-14  1.2237E-10
 13.1  3.7074E-05  2.0745E-07  1.5488E-06  7.5934E-11  2.8439E-14  1.2542E-10
 13.2  3.4869E-05  2.1755E-07  1.5465E-06  7.9462E-11  2.8568E-14  1.2855E-10
 13.3  3.2668E-05  2.2826E-07  1.5441E-06  8.3219E-11  2.8724E-14  1.3176E-10
 13.4  3.0479E-05  2.3958E-07  1.5417E-06  8.7213E-11  2.8907E-14  1.3505E-10
 13.5  2.8308E-05  2.5153E-07  1.5393E-06  9.1452E-11  2.9116E-14  1.3842E-10
 13.6  2.6164E-05  2.6415E-07  1.5369E-06  9.5945E-11  2.9351E-14  1.4188E-10
 13.7  2.4053E-05  2.7743E-07  1.5344E-06  1.0070E-10  2.9610E-14  1.4542E-10
 13.8  2.1982E-05  2.9141E-07  1.5319E-06  1.0572E-10  2.9894E-14  1.4905E-10
 13.9  1.9959E-05  3.0610E-07  1.5294E-06  1.1103E-10  3.0202E-14  1.5277E-10
 14.0  1.7991E-05  3.2152E-07  1.5268E-06  1.1661E-10  3.0533E-14  1.5659E-10
 14.1  1.6085E-05  3.3769E-07  1.5242E-06  1.2250E-10  3.0887E-14  1.6049E-10
 14.2  1.4248E-05  3.5463E-07  1.5216E-06  1.2868E-10  3.1263E-14  1.6448E-10
 14.3  1.2487E-05  3.7235E-07  1.5190E-06  1.3517E-10  3.1660E-14  1.6858E-10
 14.4  1.0809E-05  3.9088E-07  1.5163E-06  1.4199E-10  3.2079E-14  1.7276E-10
 14.5  9.2227E-06  4.1023E-07  1.5137E-06  1.4913E-10  3.2518E-14  1.7705E-10
 14.6  7.7338E-06  4.3042E-07  1.5110E-06  1.5660E-10  3.2977E-14  1.8143E-10
 14.7  6.3499E-06  4.5148E-07  1.5083E-06  1.6441E-10  3.3455E-14  1.8592E-10
 14.8  5.0782E-06  4.7341E-07  1.5055E-06  1.7258E-10  3.3952E-14  1.9051E-10
 14.9  3.9258E-06  4.9625E-07  1.5028E-06  1.8111E-10  3.4467E-14  1.9520E-10
 15.0  2.9000E-06  5.2000E-07  1.5000E-06  1.9000E-10  3.5000E-14  2.0000E-10
 15.1  2.0056E-06  5.4468E-07  1.4972E-06  1.9927E-10  3.5551E-14  2.0490E-10
 15.2  1.2381E-06  5.7029E-07  1.4944E-06  2.0890E-10  3.6121E-14  2.0991E-10
 15.3  5.9092E-07  5.9682E-07  1.4916E-06  2.1890E-10  3.6716E-14  2.1502E-10
 15.4  5.7149E-08  6.2425E-07  1.4887E-06  2.2925E-10  3.7337E-14  2.2022E-10
 15.5  3.6990E-07  6.5258E-07  1.4858E-06  2.3996E-10  3.7988E-14  2.2552E-10
 15.6  6.9700E-07  6.8180E-07  1.4829E-06  2.5101E-10  3.8672E-14  2.3090E-10
 15.7  9.3089E-07  7.1190E-07  1.4800E-06  2.6240E-10  3.9392E-14  2.3637E-10
 15.8  1.0783E-06  7.4287E-07  1.4770E-06  2.7413E-10  4.0151E-14  2.4192E-10
 15.9  1.1461E-06  7.7469E-07  1.4741E-06  2.8618E-10  4.0954E-14  2.4755E-10
 16.0  1.1408E-06  8.0737E-07  1.4710E-06  2.9856E-10  4.1802E-14  2.5325E-10
 16.1  1.0694E-06  8.4088E-07  1.4680E-06  3.1125E-10  4.2699E-14  2.5902E-10
 16.2  9.3857E-07  8.7523E-07  1.4649E-06  3.2425E-10  4.3649E-14  2.6486E-10
 16.3  7.5502E-07  9.1039E-07  1.4617E-06  3.3756E-10  4.4653E-14  2.7076E-10
 16.4  5.2553E-07  9.4637E-07  1.4585E-06  3.5116E-10  4.5717E-14  2.7672E-10
 16.5  2.5684E-07  9.8314E-07  1.4553E-06  3.6506E-10  4.6842E-14  2.8274E-10
 16.6  4.4284E-08  1.0207E-06  1.4520E-06  3.7924E-10  4.8032E-14  2.8881E-10
 16.7  3.7109E-07  1.0591E-06  1.4487E-06  3.9371E-10  4.9291E-14  2.9493E-10
 16.8  7.1684E-07  1.0982E-06  1.4453E-06  4.0845E-10  5.0621E-14  3.0109E-10
 16.9  1.0748E-06  1.1381E-06  1.4419E-06  4.2346E-10  5.2025E-14  3.0729E-10
 17.0  1.4381E-06  1.1787E-06  1.4384E-06  4.3873E-10  5.3508E-14  3.1353E-10
 17.1  1.8001E-06  1.2201E-06  1.4349E-06  4.5426E-10  5.5071E-14  3.1981E-10
 17.2  2.1541E-06  1.2622E-06  1.4313E-06  4.7004E-10  5.6719E-14  3.2611E-10
 17.3  2.4932E-06  1.3050E-06  1.4277E-06  4.8607E-10  5.8454E-14  3.3244E-10
 17.4  2.8108E-06  1.3486E-06  1.4240E-06  5.0233E-10  6.0279E-14  3.3880E-10
 17.5  3.1000E-06  1.3928E-06  1.4202E-06  5.1883E-10  6.2198E-14  3.4517E-10
 17.6  3.3555E-06  1.4378E-06  1.4164E-06  5.3556E-10  6.4214E-14  3.5156E-10
 17.7  3.5777E-06  1.4834E-06  1.4125E-06  5.5250E-10  6.6331E-14  3.5796E-10
 17.8  3.7680E-06  1.5297E-06  1.4085E-06  5.6967E-10  6.8550E-14  3.6437E-10
 17.9  3.9283E-06  1.5767E-06  1.4045E-06  5.8704E-10  7.0877E-14  3.7078E-10
 18.0  4.0602E-06  1.6244E-06  1.4003E-06  6.0462E-10  7.3313E-14  3.7719E-10
 18.1  4.1654E-06  1.6726E-06  1.3962E-06  6.2240E-10  7.5862E-14  3.8360E-10
 18.2  4.2454E-06  1.7216E-06  1.3919E-06  6.4037E-10  7.8527E-14  3.9001E-10
